checksum1,checksum2,join_count,join_threads,join_throughput,join_time,max_key,nr,ns,partition_threads,partition_throughput,partition_time,time_sec
6145254653632685119,1382805155497999100,95375885,2,37603877.725288,0.531860,1048576,10000000,10000000,16,190212409.578665,0.105146,0.637556
6145254653632685119,1382805155497999100,95375885,4,37726784.994366,0.530127,1048576,10000000,10000000,16,192881047.021802,0.103691,0.634378
6145254653632685119,1382805155497999100,95375885,8,37257268.702981,0.536808,1048576,10000000,10000000,16,189333787.561553,0.105634,0.643164
6145254653632685119,1382805155497999100,95375885,16,37195765.386357,0.537696,1048576,10000000,10000000,16,190766436.890038,0.104840,0.643312
6145254653632685119,1382805155497999100,95375885,32,37897497.801611,0.527739,1048576,10000000,10000000,16,186959829.805449,0.106975,0.635430
6145254653632685119,1382805155497999100,95375885,2,37805186.172357,0.529028,1048576,10000000,10000000,32,213500148.988945,0.093677,0.623441
6145254653632685119,1382805155497999100,95375885,4,37805173.926461,0.529028,1048576,10000000,10000000,32,219937058.296966,0.090935,0.620557
6145254653632685119,1382805155497999100,95375885,8,37715697.549858,0.530283,1048576,10000000,10000000,32,212125090.174840,0.094284,0.625417
6145254653632685119,1382805155497999100,95375885,16,37117470.708242,0.538830,1048576,10000000,10000000,32,214966383.706355,0.093038,0.632614
6145254653632685119,1382805155497999100,95375885,32,37061233.811642,0.539647,1048576,10000000,10000000,32,215085507.030560,0.092986,0.633539
